"scenario","germplasm","grain_yield","test_weight","heading_time","plant_height","net_merit"
"ST_GBLUP_22.23","IL2021-13718",100.784835296254,60.5295835793827,129.239850238144,95.2743456080553,644.369031345389
"ST_GBLUP_22.23","IL2021-44661",100.088414731181,59.858272729039,131.358865506753,96.0312133122953,623.056037872092
"ST_GBLUP_22.23","IL2021-22411",94.8641205845519,60.7907275983913,132.066182216603,107.878241831306,594.753777824247
"ST_GBLUP_22.23","IL2021-24617",89.8070196539332,60.0403397221307,131.048659326427,95.8459070057245,564.141430569486
"ST_GBLUP_22.23","IL2021-6804",93.2557150994428,60.6932871426265,130.59846323062,103.187340239477,592.325050330872
"ST_GBLUP_22.23","IL2021-1824",94.8270411544879,60.0261863398471,132.289646080845,100.680851974564,587.493333747923
"ST_GBLUP_22.23","IL2021-6853",92.4074569864898,59.6051202233726,131.034798453989,99.421036206806,576.703776283555
"ST_GBLUP_22.23","IL2021-6841",84.3592894425317,60.0786026923113,129.627799254275,99.2239118167901,539.351179506269
"ST_GBLUP_22.23","IL2021-1805",82.6196164300128,58.7300750088995,130.020026836612,100.395279638657,517.760763492028
"ST_GBLUP_22.23","IL2021-7473",77.7775077609125,60.2331535977892,130.967368641564,99.2277172287841,493.147938829644
"ST_GBLUP_22.23","IL2021-29622",89.9045597540466,62.519812727336,132.332414342028,98.5371530769306,575.472493071107
"ST_GBLUP_22.23","IL2021-24241",103.37040530507,61.6711656753704,132.170277645009,101.301495764036,653.336960963145
"ST_GBLUP_22.23","IL2021-15934",91.1073204302193,62.0760676459424,130.997544682776,96.6969565350028,587.113443003502
"ST_GBLUP_22.23","IL2021-15939",96.3503155968966,60.7695318048736,131.371811108345,102.44804416539,607.489836264656
"ST_GBLUP_22.23","IL2021-14749",92.591821454865,62.2320155121162,131.980305078912,98.9655471898599,592.046191915807
"ST_GBLUP_22.23","IL2021-28811",91.7590771899877,61.4241399846271,132.527212277295,97.231315478318,577.920108814846
"ST_GBLUP_22.23","IL2021-15809",95.9227015045288,61.8108285734645,131.344301087531,95.9886586532452,613.025351008586
"ST_GBLUP_22.23","IL2021-29116",99.2637556515699,61.4135259827855,130.629905366972,95.7718896045128,634.465268005275
"ST_GBLUP_22.23","IL2021-43415",97.1152047533899,60.4459650306939,132.611358318585,100.751844154572,602.792480713561
"ST_GBLUP_22.23","IL2021-13513",99.3356799693571,58.8106909793862,130.673018709854,101.199409435347,613.984995574503
"ST_GBLUP_22.23","IL2021-45701",95.0389155214847,60.2172732413901,131.793236771059,102.589106913954,592.96746142836
"ST_GBLUP_22.23","IL2021-29465",93.2252884194145,61.1681377202993,131.235365555136,95.3362097150165,592.163040694148
"ST_GBLUP_22.23","IL2021-24129",96.6241541687666,61.1065746100678,130.616676345665,102.384694565179,615.935973783874
"ST_GBLUP_22.23","IL2021-24839",90.21741710779,60.5715277245091,132.583241132755,96.9465755984885,561.976733237957
"ST_GBLUP_22.23","IL2021-22474",99.1413731155513,62.1696950847852,132.831794455554,93.3486565145429,627.54738097418
"ST_GBLUP_22.23","IL2021-29337",96.2963640915163,60.4336660148447,129.689531246085,97.543329038906,613.866082828452
